"EDCS-ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating","cleaned_place"
"EDCS-32701031","CIL 03, 15129,03","Dalmatia","Knin / Burnum","","","","","tituli possessionis","Sav()","Sav","Sav",NA,NA,"44.040850","16.199433","",NA,"","","",NA,"Burnum"
"EDCS-32701032","CIL 03, 15129,04","Dalmatia","Knin / Burnum","","","","","tituli possessionis","Actum Celae","Actum Celae","Actum Celae",NA,NA,"44.040850","16.199433","",NA,"","","",NA,"Burnum"
"EDCS-55300307","Legio-VII 00107","Dalmatia","Krinj","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Leg VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,"43.7451993","16.644463","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00107.jpg","","","",NA,"Krinj"
"EDCS-54900237","CIL 17-04, 00356","Dalmatia","Ljubuski / Mlade / Bigeste","","","","","miliaria","?","","","lapis",NA,"43.1904758","17.540558","",NA,"","","",NA,"Bigeste"
"EDCS-56900024","OpuscArchZagreb-1997-88","Dalmatia","Ljubuski / Mlade / Bigeste","","","","","milites;  tituli sepulcrales;  viri","]s Gem/[3] coh(ortis) / [c]orni[cularius(?)] / [","s Gem coh orni","s Gem cohortis cornicularius",NA,NA,"43.1904758","17.540558","",NA,"","","",NA,"Bigeste"
"EDCS-66600372","Lupa 24259","Dalmatia","Nin / Aenona","","","","","milites;  ordo senatorius;  tituli honorarii;  viri","]NO PR[3] / [3]NNO [3] / [3 p]rovin[ciae 3] / [3 tri]b(uno) mil(itum) le[g(ionis) 3] / [3] Syria[e 3] / [3]is in[","NO PR NNO rovin b mil le Syria is in","NO PR NNO provinciae tribuno militum legionis Syriae is in",NA,NA,"44.2430736","15.1840255","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_24259","","",NA,"Aenona"
"EDCS-10100920","ILJug-03, 01980c","Dalmatia","Omis / Almissa / Oneum / Onaeum","","","","","milites;  tituli sepulcrales","] eadem legio [","eadem legio","eadem legio",NA,NA,"43.4447124","16.6913309","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034314","","",NA,"Oneum"
"EDCS-32700979","CIL 03, 15110f","Dalmatia","Podgrade / Asseria","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) IIII F(lavia) F(elix)","Leg IIII F F","Legio IIII Flavia Felix","opus figlinae",NA,"44.0203427","15.669073","",NA,"","","",NA,"Asseria"
"EDCS-65500117","CIL 03, *00112 = CILGM p 109","Dalmatia","Risan / Risano / Risinium","","","","","milites;  tituli sepulcrales;  viri","d m / m tuscennio m f rogato / vet ben praef alae dalm col / asclepit epidaur militavit an / XXVIII vix an LIII / m IX d XVI m iusteius / p f ceraun domo rizin / contibernali bene meren f c / et s p q s","d m m tuscennio m f rogato vet ben praef alae dalm col asclepit epidaur militavit an XXVIII vix an LIII m IX d XVI m iusteius p f ceraun domo rizin contibernali bene meren f c et s p q s","d m m tuscennio m f rogato vet ben praef alae dalm col asclepit epidaur militavit an XXVIII vix an LIII m IX d XVI m iusteius p f ceraun domo rizin contibernali bene meren f c et s p q s",NA,NA,"42.5149792","18.6955649","",NA,"","","",NA,"Risinium"
"EDCS-37900108","ILJug-02, 00747","Dalmatia","Sinj / Osinium","","","","","milites;  tituli sepulcrales","] miitis cohortis III Alp(inae) [","miitis cohortis III Alp","miitis cohortis III Alpinae",NA,NA,"43.7015963","16.6365238","",NA,"","","",NA,"Osinium"
